Area name,Area code,Area type,Reporting date,Daily hospital deaths,Cumulative hospital deaths
Wales,W92000004,Nation,2020-04-26,14,788
Scotland,S92000003,Nation,2020-04-26,47,1231
Northern Ireland,N92000002,Nation,2020-04-26,16,294
United Kingdom,K02000001,UK,2020-04-26,413,20732
England,E92000001,Nation,2020-04-26,336,18419
Wales,W92000004,Nation,2020-04-25,23,774
Scotland,S92000003,Nation,2020-04-25,64,1184
Northern Ireland,N92000002,Nation,2020-04-25,15,278
United Kingdom,K02000001,UK,2020-04-25,813,20319
England,E92000001,Nation,2020-04-25,711,18083
Wales,W92000004,Nation,2020-04-24,110,751
Scotland,S92000003,Nation,2020-04-24,58,1120
Northern Ireland,N92000002,Nation,2020-04-24,13,263
United Kingdom,K02000001,UK,2020-04-24,684,19506
England,E92000001,Nation,2020-04-24,587,17372
Wales,W92000004,Nation,2020-04-23,17,641
Scotland,S92000003,Nation,2020-04-23,77,1062
Northern Ireland,N92000002,Nation,2020-04-23,30,250
United Kingdom,K02000001,UK,2020-04-23,616,18738
England,E92000001,Nation,2020-04-23,514,16785
Wales,W92000004,Nation,2020-04-22,15,624
Scotland,S92000003,Nation,2020-04-22,70,985
Northern Ireland,N92000002,Nation,2020-04-22,13,220
United Kingdom,K02000001,UK,2020-04-22,759,18100
England,E92000001,Nation,2020-04-22,665,16271
Wales,W92000004,Nation,2020-04-21,25,609
Scotland,S92000003,Nation,2020-04-21,12,915
Northern Ireland,N92000002,Nation,2020-04-21,13,207
United Kingdom,K02000001,UK,2020-04-21,823,17337
England,E92000001,Nation,2020-04-21,778,15606
Wales,W92000004,Nation,2020-04-20,9,584
Scotland,S92000003,Nation,2020-04-20,10,903
Northern Ireland,N92000002,Nation,2020-04-20,1,194
United Kingdom,K02000001,UK,2020-04-20,449,16509
England,E92000001,Nation,2020-04-20,429,14828
Wales,W92000004,Nation,2020-04-19,41,575
Scotland,S92000003,Nation,2020-04-19,56,893
Northern Ireland,N92000002,Nation,2020-04-19,17,193
United Kingdom,K02000001,UK,2020-04-19,596,16060
England,E92000001,Nation,2020-04-19,482,14399
Wales,W92000004,Nation,2020-04-18,28,534
Scotland,S92000003,Nation,2020-04-18,58,837
Northern Ireland,N92000002,Nation,2020-04-18,18,176
United Kingdom,K02000001,UK,2020-04-18,888,15464
England,E92000001,Nation,2020-04-18,784,13917
Wales,W92000004,Nation,2020-04-17,11,506
Scotland,S92000003,Nation,2020-04-17,80,779
Northern Ireland,N92000002,Nation,2020-04-17,18,158
United Kingdom,K02000001,UK,2020-04-17,847,14576
