Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-05-07,113,0,113,133626,131932,1694
South West,E12000009,Region,2020-05-07,5,,,6907,,
South East,E12000008,Region,2020-05-07,7,,,18932,,
London,E12000007,Region,2020-05-07,5,,,25623,,
East of England,E12000006,Region,2020-05-07,8,,,11856,,
West Midlands,E12000005,Region,2020-05-07,3,,,14572,,
East Midlands,E12000004,Region,2020-05-07,9,,,7473,,
Yorkshire and The Humber,E12000003,Region,2020-05-07,51,,,11970,,
North West,E12000002,Region,2020-05-07,2,,,21863,,
North East,E12000001,Region,2020-05-07,21,,,8804,,
Worcestershire,E10000034,Upper tier local authority,2020-05-07,0,,,1224,,
West Sussex,E10000032,Upper tier local authority,2020-05-07,0,,,1224,,
Warwickshire,E10000031,Upper tier local authority,2020-05-07,0,,,1286,,
Surrey,E10000030,Upper tier local authority,2020-05-07,0,,,2720,,
Suffolk,E10000029,Upper tier local authority,2020-05-07,0,,,1235,,
Staffordshire,E10000028,Upper tier local authority,2020-05-07,0,,,1934,,
Somerset,E10000027,Upper tier local authority,2020-05-07,0,,,557,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-07,0,,,1688,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-07,0,,,1203,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-07,3,,,1137,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-07,0,,,1109,,
Norfolk,E10000020,Upper tier local authority,2020-05-07,8,,,1835,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-07,0,,,908,,
Leicestershire,E10000018,Upper tier local authority,2020-05-07,2,,,1016,,
Lancashire,E10000017,Upper tier local authority,2020-05-07,1,,,3093,,
Kent,E10000016,Upper tier local authority,2020-05-07,0,,,4050,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-07,0,,,2488,,
Hampshire,E10000014,Upper tier local authority,2020-05-07,1,,,2979,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-07,0,,,1315,,
Essex,E10000012,Upper tier local authority,2020-05-07,0,,,2813,,
East Sussex,E10000011,Upper tier local authority,2020-05-07,3,,,646,,
Devon,E10000008,Upper tier local authority,2020-05-07,1,,,767,,
Derbyshire,E10000007,Upper tier local authority,2020-05-07,6,,,1401,,
Cumbria,E10000006,Upper tier local authority,2020-05-07,0,,,2062,,
Cambridgeshire,E10000003,Upper tier local authority,2020-05-07,0,,,882,,
Buckinghamshire,E10000002,Upper tier local authority,2020-05-07,0,,,877,,
Westminster,E09000033,Upper tier local authority,2020-05-07,0,,,636,,
Wandsworth,E09000032,Upper tier local authority,2020-05-07,0,,,952,,
Waltham Forest,E09000031,Upper tier local authority,2020-05-07,0,,,742,,
Tower Hamlets,E09000030,Upper tier local authority,2020-05-07,0,,,610,,
Sutton,E09000029,Upper tier local authority,2020-05-07,0,,,706,,
Southwark,E09000028,Upper tier local authority,2020-05-07,0,,,1229,,
Richmond upon Thames,E09000027,Upper tier local authority,2020-05-07,0,,,389,,
Redbridge,E09000026,Upper tier local authority,2020-05-07,2,,,710,,
Newham,E09000025,Upper tier local authority,2020-05-07,3,,,976,,
Merton,E09000024,Upper tier local authority,2020-05-07,0,,,670,,
Lewisham,E09000023,Upper tier local authority,2020-05-07,0,,,949,,
Lambeth,E09000022,Upper tier local authority,2020-05-07,0,,,1165,,
Kingston upon Thames,E09000021,Upper tier local authority,2020-05-07,0,,,479,,
Kensington and Chelsea,E09000020,Upper tier local authority,2020-05-07,0,,,476,,
Islington,E09000019,Upper tier local authority,2020-05-07,0,,,429,,
Hounslow,E09000018,Upper tier local authority,2020-05-07,0,,,694,,
Hillingdon,E09000017,Upper tier local authority,2020-05-07,0,,,750,,
Havering,E09000016,Upper tier local authority,2020-05-07,0,,,671,,
Harrow,E09000015,Upper tier local authority,2020-05-07,0,,,979,,
Haringey,E09000014,Upper tier local authority,2020-05-07,0,,,564,,
Hammersmith and Fulham,E09000013,Upper tier local authority,2020-05-07,0,,,637,,
Hackney,E09000012,Upper tier local authority,2020-05-07,0,,,622,,
Greenwich,E09000011,Upper tier local authority,2020-05-07,0,,,658,,
Enfield,E09000010,Upper tier local authority,2020-05-07,0,,,852,,
Ealing,E09000009,Upper tier local authority,2020-05-07,0,,,1114,,
Croydon,E09000008,Upper tier local authority,2020-05-07,0,,,1446,,
Camden,E09000007,Upper tier local authority,2020-05-07,0,,,593,,
Bromley,E09000006,Upper tier local authority,2020-05-07,0,,,1144,,
Brent,E09000005,Upper tier local authority,2020-05-07,0,,,1394,,
Bexley,E09000004,Upper tier local authority,2020-05-07,0,,,661,,
Barnet,E09000003,Upper tier local authority,2020-05-07,0,,,1241,,
Barking and Dagenham,E09000002,Upper tier local authority,2020-05-07,0,,,469,,
City of London,E09000001,Upper tier local authority,2020-05-07,0,,,16,,
Gateshead,E08000037,Upper tier local authority,2020-05-07,8,,,944,,
Wakefield,E08000036,Upper tier local authority,2020-05-07,3,,,600,,
Leeds,E08000035,Upper tier local authority,2020-05-07,2,,,1578,,
Kirklees,E08000034,Upper tier local authority,2020-05-07,5,,,644,,
Calderdale,E08000033,Upper tier local authority,2020-05-07,2,,,270,,
Bradford,E08000032,Upper tier local authority,2020-05-07,5,,,1064,,
